id;title;content
2;nazwa1;jakis podobny tekst
3;nazwa1;jakis du≈ºo mniej podobny tekst
4;nazwa1;w ogole nie posobny tekst
5;nazwa1;jakis bardzo podobny tekst
6;nazwa1;jakis text
7;nazwa1;jakis  tam sobie tekst
8;nazwa1;jakis  g≥upi tekst
9;nazwa1;jakis mπdry tekst
10;nazwa2;jakis duøo mniej podobny tekst
11;nazwa2;w ogole nie posobny tekst
12;nazwa2;jakis bardzo podobny tekst
13;nazwa3;jakis text
14;nazwa3;jakis sobie tekst
15;nazwa35;jakis podobny tekst
16;nazwa3;jakis duøo mniej podobny tekst
17;nazwa3;jakis sobie tekst
18;nazwa3;jakis podobny tekst
19;nazwa1;jakis sobie tekst
